pin,slack
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:A,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:B,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:C,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:FCI,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:FCO,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_31:S,
test_0/uGEN_DDS/U100/UCORD/x[9][12]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[9][12]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[9][12]:D,
test_0/uGEN_DDS/U100/UCORD/x[9][12]:Q,
test_0/u100/n_bus_state_1_sqmuxa:A,13927
test_0/u100/n_bus_state_1_sqmuxa:B,13899
test_0/u100/n_bus_state_1_sqmuxa:Y,13899
test_0/uGEN_DDS/U100/UCORD/y[9][10]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[9][10]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[9][10]:D,
test_0/uGEN_DDS/U100/UCORD/y[9][10]:Q,
test_0/uGEN_DDS/U100/UCORD/y[2][34]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[2][34]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[2][34]:D,
test_0/uGEN_DDS/U100/UCORD/y[2][34]:Q,
u8_sb_0/CCC_0/CCC_INST/IP_INTERFACE_5:IPB,
u8_sb_0/CCC_0/CCC_INST/IP_INTERFACE_5:IPC,
test_0/uGEN_DDS/U100/WideMult_1_1/U0/FF_19:IPENn,
test_0/uGEN_DDS/U100/UCORD/x[14][0]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[14][0]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[14][0]:D,
test_0/uGEN_DDS/U100/UCORD/x[14][0]:Q,
test_0/u100/UADC/un1_state_5:A,12990
test_0/u100/UADC/un1_state_5:B,
test_0/u100/UADC/un1_state_5:C,9769
test_0/u100/UADC/un1_state_5:D,11826
test_0/u100/UADC/un1_state_5:Y,9769
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_28:A,8594
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_28:B,7707
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_28:IPA,8594
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_28:IPB,7707
test_0/u100/state[1]:ALn,
test_0/u100/state[1]:CLK,10970
test_0/u100/state[1]:D,10815
test_0/u100/state[1]:Q,10970
test_0/uGEN_DDS/U100/UCORD/x[0][1]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[0][1]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[0][1]:D,
test_0/uGEN_DDS/U100/UCORD/x[0][1]:Q,
test_0/u100/n_response_1_1_iv_0_0[30]:A,13160
test_0/u100/n_response_1_1_iv_0_0[30]:B,13076
test_0/u100/n_response_1_1_iv_0_0[30]:C,11682
test_0/u100/n_response_1_1_iv_0_0[30]:D,8733
test_0/u100/n_response_1_1_iv_0_0[30]:Y,8733
test_0/uGEN_DDS/U100/UCORD/x[18][35]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[18][35]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[18][35]:D,
test_0/uGEN_DDS/U100/UCORD/x[18][35]:Q,
test_0/u100/UD100/UCRC3/inv_i_o3:A,13951
test_0/u100/UD100/UCRC3/inv_i_o3:B,13910
test_0/u100/UD100/UCRC3/inv_i_o3:Y,13910
test_0/uGEN_DDS/U100/UCORD/x[14][36]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[14][36]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[14][36]:D,
test_0/uGEN_DDS/U100/UCORD/x[14][36]:Q,
test_0/uGEN_DDS/pcmslow[12]:ALn,
test_0/uGEN_DDS/pcmslow[12]:CLK,
test_0/uGEN_DDS/pcmslow[12]:D,
test_0/uGEN_DDS/pcmslow[12]:EN,12433
test_0/uGEN_DDS/pcmslow[12]:Q,
test_0/uGEN_DDS/U100/UCORD/y[27][27]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[27][27]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[27][27]:D,
test_0/uGEN_DDS/U100/UCORD/y[27][27]:Q,
test_0/uGEN_DDS/U100/WideMult_0/U0/CFG_14:C,
test_0/uGEN_DDS/U100/WideMult_0/U0/CFG_14:IPB,
test_0/uGEN_DDS/U100/WideMult_0/U0/CFG_14:IPC,
test_0/uGEN_DDS/U100/UCORD/_l28.x[29]_4_cry_13:A,
test_0/uGEN_DDS/U100/UCORD/_l28.x[29]_4_cry_13:B,
test_0/uGEN_DDS/U100/UCORD/_l28.x[29]_4_cry_13:C,
test_0/uGEN_DDS/U100/UCORD/_l28.x[29]_4_cry_13:FCI,
test_0/uGEN_DDS/U100/UCORD/_l28.x[29]_4_cry_13:FCO,
test_0/uGEN_DDS/U100/UCORD/_l28.x[29]_4_cry_13:S,
test_0/uGEN_DDS/U100/UCORD/_l6.x[7]_4_cry_19:A,
test_0/uGEN_DDS/U100/UCORD/_l6.x[7]_4_cry_19:B,
test_0/uGEN_DDS/U100/UCORD/_l6.x[7]_4_cry_19:C,
test_0/uGEN_DDS/U100/UCORD/_l6.x[7]_4_cry_19:FCI,
test_0/uGEN_DDS/U100/UCORD/_l6.x[7]_4_cry_19:FCO,
test_0/uGEN_DDS/U100/UCORD/_l6.x[7]_4_cry_19:S,
test_0/uGEN_DDS/U100/UCORD/z[5][24]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[5][24]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[5][24]:D,
test_0/uGEN_DDS/U100/UCORD/z[5][24]:Q,
test_0/uGEN_DDS/U100/UCORD/x[8][8]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[8][8]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[8][8]:D,
test_0/uGEN_DDS/U100/UCORD/x[8][8]:Q,
test_0/uGEN_DDS/un2_cnt_1_cry_7:B,13791
test_0/uGEN_DDS/un2_cnt_1_cry_7:FCI,13679
test_0/uGEN_DDS/un2_cnt_1_cry_7:FCO,13679
test_0/uGEN_DDS/un2_cnt_1_cry_7:S,13711
test_0/uGEN_DDS/U100/UCORD/y[13][27]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[13][27]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[13][27]:D,
test_0/uGEN_DDS/U100/UCORD/y[13][27]:Q,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_6:A,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_6:B,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_6:C,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_6:FCI,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_6:FCO,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_6:S,
test_0/u100/n_response_cnst_4_7_0_.m48_1_1:A,8844
test_0/u100/n_response_cnst_4_7_0_.m48_1_1:B,8855
test_0/u100/n_response_cnst_4_7_0_.m48_1_1:C,6912
test_0/u100/n_response_cnst_4_7_0_.m48_1_1:D,7780
test_0/u100/n_response_cnst_4_7_0_.m48_1_1:Y,6912
test_0/uGEN_DDS/U100/UCORD/x[24][17]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[24][17]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[24][17]:D,
test_0/uGEN_DDS/U100/UCORD/x[24][17]:Q,
test_0/uGEN_DDS/U100/UCORD/z[15]_1_cry_23:A,
test_0/uGEN_DDS/U100/UCORD/z[15]_1_cry_23:B,
test_0/uGEN_DDS/U100/UCORD/z[15]_1_cry_23:FCI,
test_0/uGEN_DDS/U100/UCORD/z[15]_1_cry_23:FCO,
test_0/uGEN_DDS/U100/UCORD/z[15]_1_cry_23:S,
test_0/uGEN_DDS/U100/UCORD/z[29][5]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[29][5]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[29][5]:D,
test_0/uGEN_DDS/U100/UCORD/z[29][5]:Q,
test_0/uGEN_DDS/U100/UCORD/z[6]_1_cry_15:A,
test_0/uGEN_DDS/U100/UCORD/z[6]_1_cry_15:B,
test_0/uGEN_DDS/U100/UCORD/z[6]_1_cry_15:FCI,
test_0/uGEN_DDS/U100/UCORD/z[6]_1_cry_15:FCO,
test_0/uGEN_DDS/U100/UCORD/z[6]_1_cry_15:S,
test_0/u100/UD100/AX[16]:ALn,
test_0/u100/UD100/AX[16]:CLK,14017
test_0/u100/UD100/AX[16]:D,12460
test_0/u100/UD100/AX[16]:EN,12216
test_0/u100/UD100/AX[16]:Q,14017
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[8]:ALn,13049
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[8]:CLK,10856
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[8]:D,
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[8]:EN,9557
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHADDR[8]:Q,10856
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_20:A,
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_20:B,
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_20:FCI,
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_20:FCO,
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_20:S,
test_0/uGEN_DDS/U100/AX[43]:ALn,
test_0/uGEN_DDS/U100/AX[43]:CLK,
test_0/uGEN_DDS/U100/AX[43]:D,
test_0/uGEN_DDS/U100/AX[43]:EN,
test_0/uGEN_DDS/U100/AX[43]:Q,
test_0/uGEN_DDS/U100/AX[43]:SLn,
test_0/uGEN_DDS/U100/UCORD/y[12][4]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[12][4]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[12][4]:D,
test_0/uGEN_DDS/U100/UCORD/y[12][4]:Q,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_20:A,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_20:B,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_20:C,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_20:FCI,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_20:FCO,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_20:S,
test_0/uGEN_DDS/U100/WideMult_2_2/U0/FF_13:IPENn,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_s_39:B,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_s_39:C,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_s_39:D,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_s_39:FCI,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_s_39:S,
test_0/u100/UD100/n_bits_11_1[2]:A,10255
test_0/u100/UD100/n_bits_11_1[2]:B,10013
test_0/u100/UD100/n_bits_11_1[2]:C,10130
test_0/u100/UD100/n_bits_11_1[2]:Y,10013
test_0/UD0/U0/U_IOENFF:A,
test_0/UD0/U0/U_IOENFF:Y,
test_0/u100/state_ns_0_m2[0]:A,11176
test_0/u100/state_ns_0_m2[0]:B,11124
test_0/u100/state_ns_0_m2[0]:C,10143
test_0/u100/state_ns_0_m2[0]:Y,10143
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_269:IPA,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_269:IPB,
test_0/uGEN_DDS/U100/WideMult_1_0/U0/FF_22:IPENn,
test_0/uGEN_DDS/U100/UCORD/_l3.x[4]_4_cry_38:A,
test_0/uGEN_DDS/U100/UCORD/_l3.x[4]_4_cry_38:B,
test_0/uGEN_DDS/U100/UCORD/_l3.x[4]_4_cry_38:C,
test_0/uGEN_DDS/U100/UCORD/_l3.x[4]_4_cry_38:FCI,
test_0/uGEN_DDS/U100/UCORD/_l3.x[4]_4_cry_38:FCO,
test_0/uGEN_DDS/U100/UCORD/_l3.x[4]_4_cry_38:S,
test_0/uGEN_DDS/U100/UCORD/y[25][1]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[25][1]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[25][1]:D,
test_0/uGEN_DDS/U100/UCORD/y[25][1]:Q,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_25:A,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_25:B,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_25:C,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_25:FCI,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_25:FCO,
test_0/uGEN_DDS/U100/UCORD/_l26.x[27]_4_cry_25:S,
test_0/uGEN_DDS/U100/UCORD/x[22][30]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[22][30]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[22][30]:D,
test_0/uGEN_DDS/U100/UCORD/x[22][30]:Q,
test_0/u100/n_response_cnst_4_7_0_.m7_3:A,7791
test_0/u100/n_response_cnst_4_7_0_.m7_3:B,6798
test_0/u100/n_response_cnst_4_7_0_.m7_3:C,7716
test_0/u100/n_response_cnst_4_7_0_.m7_3:Y,6798
test_0/u100/un1_arg_12_4:A,7369
test_0/u100/un1_arg_12_4:B,7364
test_0/u100/un1_arg_12_4:C,7137
test_0/u100/un1_arg_12_4:D,7062
test_0/u100/un1_arg_12_4:Y,7062
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_20:A,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_20:B,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_20:C,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_20:FCI,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_20:FCO,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_20:S,
test_0/uGEN_DDS/U100/WideMult_0_0/U0/FF_27:IPENn,
test_0/uGEN_DDS/U100/UCORD/x[4][31]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[4][31]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[4][31]:D,
test_0/uGEN_DDS/U100/UCORD/x[4][31]:Q,
test_0/uGEN_DDS/U100/UCORD/y[10][30]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[10][30]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[10][30]:D,
test_0/uGEN_DDS/U100/UCORD/y[10][30]:Q,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_8:A,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_8:B,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_8:FCI,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_8:FCO,
test_0/uGEN_DDS/U100/UCORD/z[10]_1_cry_8:S,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_151:IPA,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_151:IPB,
test_0/uGEN_DDS/U100/UCORD/_l16.y[17]_4_cry_14:A,
test_0/uGEN_DDS/U100/UCORD/_l16.y[17]_4_cry_14:B,
test_0/uGEN_DDS/U100/UCORD/_l16.y[17]_4_cry_14:C,
test_0/uGEN_DDS/U100/UCORD/_l16.y[17]_4_cry_14:FCI,
test_0/uGEN_DDS/U100/UCORD/_l16.y[17]_4_cry_14:FCO,
test_0/uGEN_DDS/U100/UCORD/_l16.y[17]_4_cry_14:S,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_68:A,12254
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_68:IPA,12254
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_68:IPB,
test_0/uGEN_DDS/U100/WideMult_1_0/U0/FF_19:IPENn,
test_0/uGEN_DDS/U100/UCORD/x[21][10]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[21][10]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[21][10]:D,
test_0/uGEN_DDS/U100/UCORD/x[21][10]:Q,
test_0/uGEN_DDS/U100/UCORD/z[11]_1_cry_0:B,
test_0/uGEN_DDS/U100/UCORD/z[11]_1_cry_0:FCO,
test_0/uGEN_DDS/U100/UCORD/z[11]_1_cry_0:Y,
test_0/uGEN_DDS/U100/UCORD/x[31][32]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[31][32]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[31][32]:D,
test_0/uGEN_DDS/U100/UCORD/x[31][32]:Q,
test_0/uGEN_DDS/U100/UCORD/z[5][3]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[5][3]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[5][3]:D,
test_0/uGEN_DDS/U100/UCORD/z[5][3]:Q,
test_0/u100/n_response_64_2[1]:A,11148
test_0/u100/n_response_64_2[1]:B,10840
test_0/u100/n_response_64_2[1]:C,11047
test_0/u100/n_response_64_2[1]:Y,10840
test_0/uGEN_DDS/U100/UCORD/y[15][8]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[15][8]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[15][8]:D,
test_0/uGEN_DDS/U100/UCORD/y[15][8]:Q,
test_0/uGEN_DDS/U100/UCORD/z[17]_1_cry_20:A,
test_0/uGEN_DDS/U100/UCORD/z[17]_1_cry_20:B,
test_0/uGEN_DDS/U100/UCORD/z[17]_1_cry_20:FCI,
test_0/uGEN_DDS/U100/UCORD/z[17]_1_cry_20:FCO,
test_0/uGEN_DDS/U100/UCORD/z[17]_1_cry_20:S,
test_0/uGEN_DDS/U100/WideMult_3_0/U0/FF_12:IPENn,
test_0/uGEN_DDS/U100/UCORD/_l7.x[8]_4_cry_0:A,
test_0/uGEN_DDS/U100/UCORD/_l7.x[8]_4_cry_0:B,
test_0/uGEN_DDS/U100/UCORD/_l7.x[8]_4_cry_0:C,
test_0/uGEN_DDS/U100/UCORD/_l7.x[8]_4_cry_0:FCI,
test_0/uGEN_DDS/U100/UCORD/_l7.x[8]_4_cry_0:FCO,
test_0/uGEN_DDS/U100/UCORD/_l7.x[8]_4_cry_0:S,
test_0/uGEN_DDS/U100/UCORD/x[1][35]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[1][35]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[1][35]:D,
test_0/uGEN_DDS/U100/UCORD/x[1][35]:Q,
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHTRANS:ALn,13049
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHTRANS:CLK,7925
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHTRANS:EN,9557
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/regHTRANS:Q,7925
test_0/uGEN_DDS/U100/UCORD/_l12.x[13]_4_cry_29:A,
test_0/uGEN_DDS/U100/UCORD/_l12.x[13]_4_cry_29:B,
test_0/uGEN_DDS/U100/UCORD/_l12.x[13]_4_cry_29:C,
test_0/uGEN_DDS/U100/UCORD/_l12.x[13]_4_cry_29:FCI,
test_0/uGEN_DDS/U100/UCORD/_l12.x[13]_4_cry_29:FCO,
test_0/uGEN_DDS/U100/UCORD/_l12.x[13]_4_cry_29:S,
test_0/uGEN_DDS/U100/UCORD/y[1][27]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[1][27]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[1][27]:D,
test_0/uGEN_DDS/U100/UCORD/y[1][27]:Q,
test_0/uGEN_DDS/U100/UCORD/_l3.y[4]_4_cry_36:A,
test_0/uGEN_DDS/U100/UCORD/_l3.y[4]_4_cry_36:B,
test_0/uGEN_DDS/U100/UCORD/_l3.y[4]_4_cry_36:C,
test_0/uGEN_DDS/U100/UCORD/_l3.y[4]_4_cry_36:FCI,
test_0/uGEN_DDS/U100/UCORD/_l3.y[4]_4_cry_36:FCO,
test_0/uGEN_DDS/U100/UCORD/_l3.y[4]_4_cry_36:S,
test_0/uGEN_DDS/U100/UCORD/_l29.y[30]_4_cry_3:A,
test_0/uGEN_DDS/U100/UCORD/_l29.y[30]_4_cry_3:B,
test_0/uGEN_DDS/U100/UCORD/_l29.y[30]_4_cry_3:C,
test_0/uGEN_DDS/U100/UCORD/_l29.y[30]_4_cry_3:FCI,
test_0/uGEN_DDS/U100/UCORD/_l29.y[30]_4_cry_3:FCO,
test_0/uGEN_DDS/U100/UCORD/_l29.y[30]_4_cry_3:S,
test_0/uGEN_DDS/U100/UCORD/x[5][1]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[5][1]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[5][1]:D,
test_0/uGEN_DDS/U100/UCORD/x[5][1]:Q,
test_0/uGEN_DDS/U100/UCORD/x[20][21]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[20][21]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[20][21]:D,
test_0/uGEN_DDS/U100/UCORD/x[20][21]:Q,
test_0/uGEN_DDS/U100/reset_n:A,
test_0/uGEN_DDS/U100/reset_n:B,
test_0/uGEN_DDS/U100/reset_n:Y,
led2_obuft/U0/U_IOENFF:A,
led2_obuft/U0/U_IOENFF:Y,
test_0/u100/UD100/n_AX_1[10]:A,13068
test_0/u100/UD100/n_AX_1[10]:B,13018
test_0/u100/UD100/n_AX_1[10]:C,12691
test_0/u100/UD100/n_AX_1[10]:Y,12691
test_0/uGEN_DDS/U100/UCORD/_l25.x[26]_4_cry_12:A,
test_0/uGEN_DDS/U100/UCORD/_l25.x[26]_4_cry_12:B,
test_0/uGEN_DDS/U100/UCORD/_l25.x[26]_4_cry_12:C,
test_0/uGEN_DDS/U100/UCORD/_l25.x[26]_4_cry_12:FCI,
test_0/uGEN_DDS/U100/UCORD/_l25.x[26]_4_cry_12:FCO,
test_0/uGEN_DDS/U100/UCORD/_l25.x[26]_4_cry_12:S,
test_0/uGEN_DDS/U100/UCORD/x[6][8]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[6][8]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[6][8]:D,
test_0/uGEN_DDS/U100/UCORD/x[6][8]:Q,
test_0/u100/UADC/write_addr[3]:ALn,
test_0/u100/UADC/write_addr[3]:CLK,10639
test_0/u100/UADC/write_addr[3]:D,13079
test_0/u100/UADC/write_addr[3]:EN,12907
test_0/u100/UADC/write_addr[3]:Q,10639
test_0/UADC/dsd_lnn_RNO[0]:A,13964
test_0/UADC/dsd_lnn_RNO[0]:Y,13964
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_128:IPA,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_128:IPB,
test_0/uGEN_DDS/U100/UCORD/y[1][34]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[1][34]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[1][34]:D,
test_0/uGEN_DDS/U100/UCORD/y[1][34]:Q,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_20:A,
test_0/uGEN_DDS/U100/UCORD/_l21.x[22]_4_cry_20:B,
